Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:45:15,77,4.4,1915.24,64069.61
23:45:16,77.1,4.8,1915.25,64069.65
23:45:17,77,8.3,1915.25,64069.68
23:45:18,47,13.4,1915.25,64069.86
23:45:19,77,24.8,1915.25,64070.07
23:45:20,37,19.8,1915.25,64070.08
23:45:21,77,8,1915.25,64070.23
23:45:22,27,17.7,1915.25,64070.31
23:45:23,77,17.4,1915.25,64070.42
23:45:24,77,19,1915.89,64070.45
23:45:25,36.7,16.2,1915.89,64072.47
23:45:26,76.6,3.5,1915.89,64072.51
23:45:27,76.6,3.9,1915.89,64072.84
23:45:28,76.6,6.7,1915.89,64072.85
23:45:29,76.6,10.5,1915.89,64072.96
23:45:30,16.5,8.4,1915.27,64073.04
23:45:31,76.6,4.2,1915.27,64073.11
23:45:32,76.6,6.3,1915.27,64073.47
23:45:33,76.5,5.4,1915.27,64073.51
23:45:34,76.5,47.1,1915.27,64073.58
23:45:35,16.5,5.9,1915.27,64073.71
23:45:37,76.5,19.1,1915.28,64073.79
23:45:38,76.5,12.6,1915.28,64073.8
23:45:39,76.5,12.5,1915.3,64073.83
23:45:40,76.5,14.5,1915.31,64074.92
23:45:41,76.5,8.8,1915.31,64074.95
23:45:42,76.5,8,1915.31,64074.95
23:45:43,76.5,8.2,1915.31,64075.1
23:45:44,76.5,10.6,1915.32,64075.1
23:45:45,76.5,6,1915.32,64075.13
23:45:46,76.5,4.3,1915.32,64075.13
23:45:47,76.5,6,1915.32,64075.14
23:45:48,76.5,29.3,1915.33,64075.32
23:45:49,26.9,6.2,1915.34,64076.05
23:45:50,77,6,1915.34,64076.08
23:45:51,26.9,4.5,1915.35,64076.14
23:45:52,77,6.5,1915.36,64076.17
23:45:53,76.5,16.3,1915.37,64036.82
23:45:54,76.5,14.8,1915.37,64036.82
23:45:55,76.5,3.3,1915.37,64076.5
23:45:56,36.8,4.4,1915.37,64076.63
23:45:57,36.8,4.3,1915.37,64026.91
23:45:58,36.8,5.5,1915.37,64026.99
23:45:59,36.8,47.2,1915.37,64077.02
23:46:00,36.8,12.5,1915.37,64077.11
23:46:01,36.8,10.9,1915.37,64077.33
23:46:02,36.8,9.8,1915.37,64077.33
23:46:03,36.8,47.8,1915.38,64047.4
23:46:04,36.8,47.8,1915.38,64047.41
23:46:05,36.8,47,1915.38,64047.44
23:46:06,36.8,47,1915.38,64047.44
23:46:07,36.8,6,1915.39,64032.98
23:46:09,36.8,6.2,1915.39,64077.85
23:46:10,36.8,10.1,1915.39,64077.96
23:46:11,36.8,18.4,1915.39,64077.97
23:46:12,36.8,3.5,1915.39,64077.98
23:46:13,36.8,5.8,1915.39,64078.03
